iter	RMSE
0	7.899565845
1	7.810287879
2	7.730023771
3	7.654803445
4	7.580515897
5	7.514136161
6	7.454292675
7	7.391755308
8	7.341898993
9	7.289344868
10	7.243850015
11	7.195959435
12	7.154555225
13	7.118436532
14	7.080500494
15	7.048990012
16	7.018059347
17	6.987197093
18	6.959819931
19	6.935371579
20	6.90877749
21	6.883662086
22	6.859363872
23	6.838431109
24	6.818460908
25	6.802618391
26	6.78301807
27	6.764118165
28	6.745947829
29	6.731111239
30	6.713856218
31	6.692295744
32	6.678376029
33	6.665966629
34	6.653778928
35	6.641432751
36	6.62694739
37	6.613096751
38	6.599424099
39	6.588591327
40	6.581475181
41	6.571663966
42	6.561810142
43	6.550246289
44	6.536290641
45	6.528171936
46	6.517709823
47	6.507138363
48	6.49822497
49	6.486356943
50	6.478098209
51	6.469311115
52	6.462348273
53	6.451153137
54	6.438283712
55	6.433081666
56	6.425834652
57	6.416641911
58	6.40919006
59	6.402365475
60	6.395021946
61	6.389868033
62	6.384316913
63	6.37270406
64	6.365477884
65	6.355035625
66	6.346956078
67	6.34169827
68	6.335486568
69	6.326615879
70	6.322025363
71	6.313757652
72	6.30797062
73	6.300649313
74	6.295351306
75	6.291311389
76	6.283684793
77	6.277041931
78	6.267366264
79	6.264169857
80	6.253010761
81	6.247608086
82	6.238753913
83	6.234174864
84	6.228872251
85	6.224968349
86	6.217768878
87	6.209833081
88	6.205926041
89	6.199787796
90	6.194990285
91	6.189557768
92	6.18407636
93	6.176686056
94	6.172752546
95	6.167475801
96	6.161914329
97	6.158245711
98	6.153008674
99	6.149997674
100	6.145541472
101	6.138903029
102	6.135497051
103	6.13018929
104	6.122761824
105	6.11562218
106	6.109332032
107	6.105522573
108	6.103272504
109	6.092071608
110	6.088996279
111	6.084313269
112	6.07687952
113	6.072171762
114	6.068839187
115	6.063515593
116	6.05813126
117	6.054187534
118	6.051511887
119	6.047451407
120	6.040347877
121	6.031925493
122	6.027292147
123	6.019119362
124	6.014805299
125	6.011509348
126	6.00544284
127	5.999630442
128	5.996597023
129	5.990818387
130	5.98772678
131	5.984513297
132	5.978702163
133	5.97369733
134	5.969968561
135	5.964450309
136	5.959821851
137	5.956493738
138	5.953298549
139	5.948852665
140	5.943994124
141	5.941503182
142	5.935079071
143	5.925870043
144	5.918759543
145	5.916216123
146	5.908764748
147	5.90385564
148	5.896549874
149	5.894144409
150	5.890044531
151	5.885748952
152	5.883270318
153	5.879541445
154	5.871334437
155	5.865813181
156	5.860696951
157	5.857515181
158	5.853387748
159	5.847320932
160	5.838588487
161	5.832998991
162	5.828308421
163	5.825255611
164	5.822431799
165	5.818793797
166	5.816062414
167	5.811521877
168	5.807985068
169	5.804693076
170	5.801586325
171	5.795901029
172	5.790621502
173	5.7854498
174	5.777127197
175	5.774583661
176	5.767959194
177	5.760620372
178	5.756633291
179	5.752848081
180	5.748723546
181	5.745672484
182	5.741793662
183	5.73554629
184	5.730553034
185	5.725975664
186	5.719280638
187	5.717173374
188	5.709725568
189	5.703247906
190	5.698168159
191	5.69554085
192	5.692606584
193	5.68928485
194	5.684231496
195	5.67969556
196	5.676142559
197	5.67295254
198	5.667779923
199	5.663902029
200	5.65851998
201	5.651931363
202	5.648717849
203	5.644689934
204	5.640237004
205	5.633974723
206	5.631057639
207	5.625205206
208	5.621102988
209	5.613895738
210	5.60844732
211	5.605358134
212	5.602724616
213	5.59772502
214	5.591621472
215	5.58555334
216	5.581922422
217	5.577835531
218	5.573843916
219	5.567306968
220	5.56225235
221	5.55849377
222	5.555426947
223	5.550999083
224	5.545169643
225	5.537962348
226	5.533633979
227	5.529370872
228	5.525302748
229	5.520498147
230	5.518265784
231	5.51455957
232	5.512623792
233	5.506079099
234	5.503131364
235	5.499831224
236	5.495670462
237	5.491977792
238	5.487759045
239	5.485112857
240	5.48003006
241	5.476929104
242	5.471414062
243	5.465710253
244	5.461582843
245	5.455120192
246	5.447661101
247	5.441848952
248	5.437200709
249	5.431732687
250	5.42832581
251	5.42314834
252	5.421096853
253	5.417761814
254	5.413447022
255	5.409155631
256	5.405208192
257	5.400280466
258	5.397405628
259	5.393109452
260	5.38774965
261	5.385912294
262	5.3819924
263	5.378411877
264	5.373799018
265	5.367664079
266	5.365214544
267	5.362460633
268	5.360933526
269	5.357395625
270	5.353139798
271	5.348391382
272	5.343497162
273	5.339045423
274	5.335961143
275	5.334368246
276	5.331512833
277	5.328742807
278	5.325272193
279	5.319692596
280	5.316076652
281	5.313378043
282	5.310486661
283	5.306504973
284	5.30181414
285	5.297616111
286	5.292874331
287	5.289294503
288	5.284932979
289	5.280217698
290	5.278130053
291	5.274404576
292	5.271049682
293	5.268882106
294	5.265223515
295	5.26032827
296	5.256924602
297	5.251220133
298	5.249452103
299	5.246582281
