iter	Passed	Remaining
0	2	690
1	4	655
2	6	635
3	8	633
4	10	625
5	12	618
6	14	613
7	16	605
8	18	599
9	20	594
10	22	587
11	24	590
12	26	588
13	28	587
14	30	585
15	32	582
16	35	582
17	37	579
18	39	578
19	41	575
20	43	571
21	45	570
22	47	567
23	49	565
24	51	563
25	53	560
26	55	558
27	57	556
28	59	554
29	61	552
30	63	550
31	65	546
32	67	544
33	69	542
34	71	540
35	73	537
36	75	534
37	77	533
38	79	531
39	81	529
40	83	527
41	85	525
42	87	522
43	89	519
44	91	517
45	93	515
46	95	513
47	97	510
48	99	508
49	101	506
50	103	504
51	105	501
52	107	499
53	109	497
54	111	495
55	113	492
56	115	491
57	117	490
58	119	487
59	121	485
60	123	482
61	125	480
62	127	478
63	129	476
64	131	474
65	133	472
66	135	469
67	137	467
68	138	465
69	140	462
70	142	460
71	144	458
72	146	456
73	148	454
74	150	452
75	152	450
76	154	448
77	156	445
78	158	443
79	160	441
80	162	439
81	164	437
82	166	435
83	168	433
84	170	431
85	172	429
86	174	428
87	177	426
88	179	424
89	181	422
90	183	420
91	185	418
92	187	416
93	189	414
94	191	413
95	193	411
96	195	409
97	197	407
98	199	405
99	201	402
100	203	400
101	205	398
102	207	397
103	209	395
104	211	392
105	213	390
106	215	388
107	217	387
108	219	385
109	221	383
110	224	381
111	226	379
112	228	377
113	229	375
114	231	373
115	233	370
116	235	368
117	238	367
118	240	365
119	241	362
120	243	360
121	245	358
122	247	356
123	249	354
124	251	352
125	254	350
126	256	348
127	258	346
128	260	344
129	261	342
130	263	340
131	265	338
132	267	336
133	270	334
134	272	332
135	273	330
136	275	328
137	277	326
138	279	324
139	281	322
140	283	320
141	285	318
142	287	316
143	289	314
144	291	311
145	293	309
146	295	307
147	297	305
148	299	303
149	301	301
150	303	299
151	305	297
152	307	295
153	309	293
154	311	291
155	313	289
156	315	287
157	317	285
158	319	283
159	321	281
160	323	279
161	325	277
162	327	275
163	329	273
164	331	271
165	333	269
166	335	267
167	337	265
168	339	263
169	341	261
170	343	259
171	345	257
172	347	255
173	349	253
174	351	251
175	353	249
176	355	247
177	357	245
178	359	242
179	361	241
180	363	239
181	365	236
182	367	234
183	369	232
184	371	230
185	373	228
186	375	227
187	377	224
188	379	222
189	381	220
190	383	218
191	385	216
192	387	214
193	389	212
194	391	210
195	393	208
196	394	206
197	396	204
198	398	202
199	400	200
200	402	198
201	404	196
202	406	194
203	408	192
204	410	190
205	412	188
206	414	186
207	416	184
208	418	182
209	420	180
210	422	178
211	424	176
212	426	174
213	428	172
214	429	169
215	432	168
216	434	166
217	435	163
218	437	161
219	439	159
220	441	157
221	443	155
222	445	153
223	447	151
224	449	149
225	451	147
226	453	145
227	455	143
228	457	141
229	459	139
230	461	137
231	463	135
232	464	133
233	467	131
234	468	129
235	470	127
236	472	125
237	474	123
238	476	121
239	478	119
240	480	117
241	482	115
242	484	113
243	486	111
244	488	109
245	490	107
246	492	105
247	494	103
248	495	101
249	498	99
250	500	97
251	501	95
252	503	93
253	505	91
254	507	89
255	509	87
256	511	85
257	513	83
258	515	81
259	517	79
260	519	77
261	521	75
262	523	73
263	525	71
264	527	69
265	529	67
266	531	65
267	533	63
268	535	61
269	537	59
270	539	57
271	541	55
272	543	53
273	545	51
274	547	49
275	549	47
276	551	45
277	553	43
278	555	41
279	556	39
280	559	37
281	561	35
282	563	33
283	565	31
284	567	29
285	568	27
286	570	25
287	572	23
288	574	21
289	576	19
290	578	17
291	580	15
292	582	13
293	584	11
294	586	9
295	588	7
296	590	5
297	592	3
298	594	1
299	596	0
